NBTreeGRASP-RVND_KDD_RODADA_2_5F_	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
NBTreeGRASP-RVND_KDD_RODADA_2_5F_(1)	80.15140533447266	15.5398588180542	0.061804696917533875	[11, 9, 14, 1, 37]	
NBTreeGRASP-RVND_KDD_RODADA_2_5F_(2)	82.39886474609375	25.19340705871582	0.08240626007318497	[13, 37, 33, 6, 3]	
NBTreeGRASP-RVND_KDD_RODADA_2_5F_(3)	82.39886474609375	25.19340705871582	0.08240626007318497	[13, 37, 33, 6, 3]	
NBTreeGRASP-RVND_KDD_RODADA_2_5F_(4)	82.39886474609375	25.19340705871582	0.08240626007318497	[13, 37, 33, 6, 3]	
NBTreeGRASP-RVND_KDD_RODADA_2_5F_(5)	82.39886474609375	25.19340705871582	0.08240626007318497	[13, 37, 33, 6, 3]	
NBTreeGRASP-RVND_KDD_RODADA_2_5F_(6)	82.39886474609375	25.19340705871582	0.08240626007318497	[13, 37, 33, 6, 3]	
NBTreeGRASP-RVND_KDD_RODADA_2_5F_(7)	82.39886474609375	25.19340705871582	0.08240626007318497	[13, 37, 33, 6, 3]	
NBTreeGRASP-RVND_KDD_RODADA_2_5F_(8)	82.46195220947266	25.462495803833008	0.08240626007318497	[33, 13, 3, 1, 9]	
NBTreeGRASP-RVND_KDD_RODADA_2_5F_(9)	82.46195220947266	25.462495803833008	0.08240626007318497	[33, 13, 3, 1, 9]	
NBTreeGRASP-RVND_KDD_RODADA_2_5F_(10)	82.46195220947266	25.462495803833008	0.08240626007318497	[33, 13, 3, 1, 9]	
NBTreeGRASP-RVND_KDD_RODADA_2_5F_(11)	82.46195220947266	25.462495803833008	0.08240626007318497	[33, 13, 3, 1, 9]	
NBTreeGRASP-RVND_KDD_RODADA_2_5F_(12)	82.46195220947266	25.462495803833008	0.08240626007318497	[33, 13, 3, 1, 9]	
NBTreeGRASP-RVND_KDD_RODADA_2_5F_(13)	82.46195220947266	25.462495803833008	0.08240626007318497	[33, 13, 3, 1, 9]	
NBTreeGRASP-RVND_KDD_RODADA_2_5F_(14)	82.46195220947266	25.462495803833008	0.08240626007318497	[33, 13, 3, 1, 9]	
NBTreeGRASP-RVND_KDD_RODADA_2_5F_(15)	82.73795318603516	26.505212783813477	0.041203130036592484	[22, 36, 5, 1, 11]	
NBTreeGRASP-RVND_KDD_RODADA_2_5F_(16)	82.73795318603516	26.505212783813477	0.041203130036592484	[22, 36, 5, 1, 11]	
NBTreeGRASP-RVND_KDD_RODADA_2_5F_(17)	84.76461029052734	35.351497650146484	0.10300783067941666	[6, 3, 36, 11, 9]	
NBTreeGRASP-RVND_KDD_RODADA_2_5F_(18)	84.76461029052734	35.351497650146484	0.10300783067941666	[6, 3, 36, 11, 9]	
NBTreeGRASP-RVND_KDD_RODADA_2_5F_(19)	84.76461029052734	35.351497650146484	0.10300783067941666	[6, 3, 36, 11, 9]	
NBTreeGRASP-RVND_KDD_RODADA_2_5F_(20)	84.76461029052734	35.351497650146484	0.10300783067941666	[6, 3, 36, 11, 9]	
NBTreeGRASP-RVND_KDD_RODADA_2_5F_(21)	84.76461029052734	35.351497650146484	0.10300783067941666	[6, 3, 36, 11, 9]	
NBTreeGRASP-RVND_KDD_RODADA_2_5F_(22)	84.76461029052734	35.351497650146484	0.10300783067941666	[6, 3, 36, 11, 9]	
NBTreeGRASP-RVND_KDD_RODADA_2_5F_(23)	84.76461029052734	35.351497650146484	0.10300783067941666	[6, 3, 36, 11, 9]	
