RandomTree_KDD_RODADA_1_5F_	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
RandomTree_KDD_RODADA_1_5F_(31)	86.1998291015625	41.94416427612305	0.2472187876701355	[22, 37, 3, 6, 1]	
RandomTree_KDD_RODADA_1_5F_(32)	86.1998291015625	41.94416427612305	0.2472187876701355	[22, 37, 3, 6, 1]	
RandomTree_KDD_RODADA_1_5F_(33)	86.1998291015625	41.94416427612305	0.2472187876701355	[22, 37, 3, 6, 1]	
RandomTree_KDD_RODADA_1_5F_(34)	86.1998291015625	41.94416427612305	0.2472187876701355	[22, 37, 3, 6, 1]	
RandomTree_KDD_RODADA_1_5F_(35)	86.1998291015625	41.94416427612305	0.2472187876701355	[22, 37, 3, 6, 1]	
RandomTree_KDD_RODADA_1_5F_(36)	86.1998291015625	41.94416427612305	0.2472187876701355	[22, 37, 3, 6, 1]	
RandomTree_KDD_RODADA_1_5F_(37)	86.1998291015625	41.94416427612305	0.2472187876701355	[22, 37, 3, 6, 1]	
RandomTree_KDD_RODADA_1_5F_(38)	86.1998291015625	41.94416427612305	0.2472187876701355	[22, 37, 3, 6, 1]	
RandomTree_KDD_RODADA_1_5F_(39)	86.1998291015625	41.94416427612305	0.2472187876701355	[22, 37, 3, 6, 1]	
RandomTree_KDD_RODADA_1_5F_(40)	86.1998291015625	41.94416427612305	0.2472187876701355	[22, 37, 3, 6, 1]	
RandomTree_KDD_RODADA_1_5F_(41)	86.1998291015625	41.94416427612305	0.2472187876701355	[22, 37, 3, 6, 1]	
RandomTree_KDD_RODADA_1_5F_(42)	86.1998291015625	41.94416427612305	0.2472187876701355	[22, 37, 3, 6, 1]	
RandomTree_KDD_RODADA_1_5F_(43)	86.1998291015625	41.94416427612305	0.2472187876701355	[22, 37, 3, 6, 1]	
RandomTree_KDD_RODADA_1_5F_(44)	86.1998291015625	41.94416427612305	0.2472187876701355	[22, 37, 3, 6, 1]	
RandomTree_KDD_RODADA_1_5F_(45)	86.1998291015625	41.94416427612305	0.2472187876701355	[22, 37, 3, 6, 1]	
RandomTree_KDD_RODADA_1_5F_(46)	86.1998291015625	41.94416427612305	0.2472187876701355	[1, 22, 3, 6, 37]	
RandomTree_KDD_RODADA_1_5F_(47)	86.1998291015625	41.94416427612305	0.2472187876701355	[1, 22, 3, 6, 37]	
RandomTree_KDD_RODADA_1_5F_(48)	86.1998291015625	41.94416427612305	0.2472187876701355	[1, 22, 3, 6, 37]	
RandomTree_KDD_RODADA_1_5F_(49)	86.1998291015625	41.94416427612305	0.2472187876701355	[1, 22, 3, 6, 37]	
RandomTree_KDD_RODADA_1_5F_(50)	86.1998291015625	41.94416427612305	0.2472187876701355	[1, 22, 3, 6, 37]	
RandomTree_KDD_RODADA_1_5F_	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
RandomTree_KDD_RODADA_1_5F_(1)	82.36732482910156	25.22704315185547	0.1339101791381836	[1, 10, 6, 11, 22]	
RandomTree_KDD_RODADA_1_5F_(2)	85.31661224365234	37.63874816894531	0.08240626007318497	[23, 3, 6, 1, 36]	
RandomTree_KDD_RODADA_1_5F_(3)	85.31661224365234	37.63874816894531	0.08240626007318497	[23, 3, 6, 1, 36]	
RandomTree_KDD_RODADA_1_5F_(4)	85.31661224365234	37.63874816894531	0.08240626007318497	[23, 3, 6, 1, 36]	
RandomTree_KDD_RODADA_1_5F_(5)	85.31661224365234	37.63874816894531	0.08240626007318497	[23, 3, 6, 1, 36]	
RandomTree_KDD_RODADA_1_5F_(6)	85.31661224365234	37.63874816894531	0.08240626007318497	[23, 3, 6, 1, 36]	
RandomTree_KDD_RODADA_1_5F_(7)	85.31661224365234	37.63874816894531	0.08240626007318497	[23, 3, 6, 1, 36]	
RandomTree_KDD_RODADA_1_5F_(8)	85.31661224365234	37.63874816894531	0.08240626007318497	[23, 3, 6, 1, 36]	
RandomTree_KDD_RODADA_1_5F_(9)	85.31661224365234	37.63874816894531	0.08240626007318497	[23, 3, 6, 1, 36]	
RandomTree_KDD_RODADA_1_5F_(10)	85.31661224365234	37.63874816894531	0.08240626007318497	[23, 3, 6, 1, 36]	
RandomTree_KDD_RODADA_1_5F_(11)	85.31661224365234	37.63874816894531	0.08240626007318497	[23, 3, 6, 1, 36]	
RandomTree_KDD_RODADA_1_5F_(12)	85.31661224365234	37.63874816894531	0.08240626007318497	[23, 3, 6, 1, 36]	
RandomTree_KDD_RODADA_1_5F_(13)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
RandomTree_KDD_RODADA_1_5F_(14)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
RandomTree_KDD_RODADA_1_5F_(15)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
RandomTree_KDD_RODADA_1_5F_(16)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
RandomTree_KDD_RODADA_1_5F_(17)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
RandomTree_KDD_RODADA_1_5F_(18)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
RandomTree_KDD_RODADA_1_5F_(19)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
RandomTree_KDD_RODADA_1_5F_(20)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
RandomTree_KDD_RODADA_1_5F_(21)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
RandomTree_KDD_RODADA_1_5F_(22)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
RandomTree_KDD_RODADA_1_5F_(23)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
RandomTree_KDD_RODADA_1_5F_(24)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
RandomTree_KDD_RODADA_1_5F_(25)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
RandomTree_KDD_RODADA_1_5F_(26)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
RandomTree_KDD_RODADA_1_5F_(27)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
RandomTree_KDD_RODADA_1_5F_(28)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
RandomTree_KDD_RODADA_1_5F_(29)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
RandomTree_KDD_RODADA_1_5F_(30)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
RandomTree_KDD_RODADA_1_5F_(31)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
RandomTree_KDD_RODADA_1_5F_(32)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
RandomTree_KDD_RODADA_1_5F_(33)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
RandomTree_KDD_RODADA_1_5F_(34)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
RandomTree_KDD_RODADA_1_5F_(35)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
RandomTree_KDD_RODADA_1_5F_(36)	85.63993072509766	39.05146408081055	0.09270704537630081	[6, 36, 14, 3, 1]	
