NBTreeGRASP-RVND_WSN_RODADA_1_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
NBTreeGRASP-RVND_WSN_RODADA_1_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
NBTreeGRASP-RVND_WSN_RODADA_1_5F(1)	99.43033599853516	98.82054138183594	0.0	[5, 17, 11, 3, 6]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(2)	99.43033599853516	98.82054138183594	0.0	[17, 5, 11, 3, 6]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(3)	99.43033599853516	98.82054138183594	0.0	[5, 11, 17, 3]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(4)	99.43033599853516	98.82054138183594	0.0	[17, 8, 5, 11, 18]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(5)	99.43033599853516	98.82054138183594	0.0	[5, 11, 17, 6, 13]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
NBTreeGRASP-RVND_WSN_RODADA_1_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
NBTreeGRASP-RVND_WSN_RODADA_1_5F(1)	99.43033599853516	98.82054138183594	0.0	[5, 17, 11, 6]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(2)	99.43033599853516	98.82054138183594	0.0	[5, 11, 17, 6, 13]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(3)	99.43033599853516	98.82054138183594	0.0	[5, 17, 11, 3]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(4)	99.43033599853516	98.82054138183594	0.0	[17, 5, 11, 3, 6]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(5)	99.43033599853516	98.82054138183594	0.0	[17, 5, 11, 6, 13]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(6)	99.43033599853516	98.82054138183594	0.0	[8, 17, 5, 11, 3]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(7)	99.43033599853516	98.82054138183594	0.0	[13, 8, 17, 5, 11]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
NBTreeGRASP-RVND_WSN_RODADA_1_5F(1)	99.4035415649414	98.76506805419922	0.0	[3, 6, 13, 12, 8]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(2)	99.43033599853516	98.82054138183594	0.0	[17, 5, 11, 3, 13]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(3)	99.43033599853516	98.82054138183594	0.0	[6, 5, 11, 17, 13]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(4)	99.43033599853516	98.82054138183594	0.0	[8, 11, 17, 5]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(5)	99.43033599853516	98.82054138183594	0.0	[5, 17, 11, 6, 13]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(6)	99.43033599853516	98.82054138183594	0.0	[11, 17, 5, 6, 12]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(7)	99.43033599853516	98.82054138183594	0.0	[11, 17, 5, 6, 12]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(8)	99.43033599853516	98.82054138183594	0.0	[11, 17, 5, 6, 12]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(9)	99.43033599853516	98.82054138183594	0.0	[11, 17, 5, 6, 12]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(10)	99.43033599853516	98.82054138183594	0.0	[11, 17, 5, 6, 12]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(11)	99.43033599853516	98.82054138183594	0.0	[5, 11, 17, 3]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(12)	99.43033599853516	98.82054138183594	0.0	[8, 17, 5, 11, 3]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(13)	99.43033599853516	98.82054138183594	0.0	[17, 8, 5, 11, 6]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(14)	99.43033599853516	98.82054138183594	0.0	[8, 17, 5, 11, 7]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(15)	99.43033599853516	98.82054138183594	0.0	[11, 17, 5, 3, 13]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(16)	99.43033599853516	98.82054138183594	0.0	[11, 17, 5, 3, 13]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(17)	99.43033599853516	98.82054138183594	0.0	[11, 17, 5, 3, 13]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(18)	99.43033599853516	98.82054138183594	0.0	[17, 5, 11, 3, 6]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(19)	99.43033599853516	98.82054138183594	0.0	[11, 17, 5, 6, 13]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(20)	99.43033599853516	98.82054138183594	0.0	[11, 17, 5, 6, 13]	
NBTreeGRASP-RVND_WSN_RODADA_1_5F(21)	99.43033599853516	98.82054138183594	0.0	[11, 17, 5, 6, 13]	
