NaiveBayesGRASP-RVND_KDD_RODADA_2_5F_	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
NaiveBayesGRASP-RVND_KDD_RODADA_2_5F_(37)	85.72667694091797	43.89505386352539	1.462711215019226	[11, 23, 18, 3, 37]	
NaiveBayesGRASP-RVND_KDD_RODADA_2_5F_(38)	85.72667694091797	43.89505386352539	1.462711215019226	[11, 23, 18, 3, 37]	
NaiveBayesGRASP-RVND_KDD_RODADA_2_5F_(39)	85.72667694091797	43.89505386352539	1.462711215019226	[11, 23, 18, 3, 37]	
NaiveBayesGRASP-RVND_KDD_RODADA_2_5F_(40)	85.72667694091797	43.89505386352539	1.462711215019226	[11, 23, 18, 3, 37]	
NaiveBayesGRASP-RVND_KDD_RODADA_2_5F_(41)	85.72667694091797	43.89505386352539	1.462711215019226	[11, 23, 18, 3, 37]	
NaiveBayesGRASP-RVND_KDD_RODADA_2_5F_(42)	85.72667694091797	43.89505386352539	1.462711215019226	[11, 23, 18, 3, 37]	
NaiveBayesGRASP-RVND_KDD_RODADA_2_5F_(43)	85.72667694091797	43.89505386352539	1.462711215019226	[11, 23, 18, 3, 37]	
NaiveBayesGRASP-RVND_KDD_RODADA_2_5F_(44)	85.72667694091797	43.89505386352539	1.462711215019226	[11, 23, 18, 3, 37]	
NaiveBayesGRASP-RVND_KDD_RODADA_2_5F_(45)	85.72667694091797	43.89505386352539	1.462711215019226	[11, 23, 18, 3, 37]	
NaiveBayesGRASP-RVND_KDD_RODADA_2_5F_(46)	85.72667694091797	43.89505386352539	1.462711215019226	[11, 23, 18, 3, 37]	
NaiveBayesGRASP-RVND_KDD_RODADA_2_5F_(47)	85.72667694091797	43.89505386352539	1.462711215019226	[11, 23, 18, 3, 37]	
NaiveBayesGRASP-RVND_KDD_RODADA_2_5F_(48)	85.72667694091797	43.89505386352539	1.462711215019226	[11, 23, 18, 3, 37]	
NaiveBayesGRASP-RVND_KDD_RODADA_2_5F_(49)	85.72667694091797	43.89505386352539	1.462711215019226	[11, 23, 18, 3, 37]	
NaiveBayesGRASP-RVND_KDD_RODADA_2_5F_(50)	85.72667694091797	43.89505386352539	1.462711215019226	[11, 23, 18, 3, 37]	
