NaiveBayes_KDD_RODADA_2_5F_	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
NaiveBayes_KDD_RODADA_2_5F_(18)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(19)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(20)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(21)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(22)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(23)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(24)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(25)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(26)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(27)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(28)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(29)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(30)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(31)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(32)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(33)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(34)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(35)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(36)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(37)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(38)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(39)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(40)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(41)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(42)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(43)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 17, 3, 23, 37]	
NaiveBayes_KDD_RODADA_2_5F_(44)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 17, 3, 23, 37]	
NaiveBayes_KDD_RODADA_2_5F_(45)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 17, 3, 23, 37]	
NaiveBayes_KDD_RODADA_2_5F_(46)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 17, 3, 23, 37]	
NaiveBayes_KDD_RODADA_2_5F_(47)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 17, 3, 23, 37]	
NaiveBayes_KDD_RODADA_2_5F_(48)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 17, 3, 23, 37]	
NaiveBayes_KDD_RODADA_2_5F_(49)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 17, 3, 23, 37]	
NaiveBayes_KDD_RODADA_2_5F_(50)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 17, 3, 23, 37]	
