NaiveBayes_KDD_RODADA_2_5F_	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
NaiveBayes_KDD_RODADA_2_5F_(1)	85.50587463378906	48.4359245300293	3.1417386531829834	[13, 3, 23, 39, 11]	
NaiveBayes_KDD_RODADA_2_5F_(2)	85.50587463378906	48.4359245300293	3.1417386531829834	[13, 3, 23, 39, 11]	
NaiveBayes_KDD_RODADA_2_5F_(3)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(4)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(5)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(6)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(7)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(8)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(9)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(10)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(11)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(12)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(13)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(14)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(15)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(16)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
NaiveBayes_KDD_RODADA_2_5F_(17)	85.77399444580078	44.09687042236328	1.462711215019226	[11, 23, 17, 3, 37]	
