J48CIDIDS_RODADA_1_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
J48CIDIDS_RODADA_1_5F(43)	98.16024017333984	97.29582977294922	0.9687798619270325	[56, 41, 40, 49, 42]	
J48CIDIDS_RODADA_1_5F(44)	98.16024017333984	97.29582977294922	0.9687798619270325	[56, 41, 40, 49, 42]	
J48CIDIDS_RODADA_1_5F(45)	98.16024017333984	97.29582977294922	0.9687798619270325	[56, 41, 40, 49, 42]	
J48CIDIDS_RODADA_1_5F(46)	98.16024017333984	97.29582977294922	0.9687798619270325	[56, 41, 40, 49, 42]	
J48CIDIDS_RODADA_1_5F(47)	98.16024017333984	97.29582977294922	0.9687798619270325	[56, 41, 40, 49, 42]	
J48CIDIDS_RODADA_1_5F(48)	98.16024017333984	97.29582977294922	0.9687798619270325	[56, 41, 40, 49, 42]	
J48CIDIDS_RODADA_1_5F(49)	98.16024017333984	97.29582977294922	0.9687798619270325	[56, 41, 40, 49, 42]	
J48CIDIDS_RODADA_1_5F(50)	98.16024017333984	97.29582977294922	0.9687798619270325	[56, 41, 40, 49, 42]	
J48CIDIDS_RODADA_1_5F(51)	98.16024017333984	97.29582977294922	0.9687798619270325	[56, 41, 40, 49, 42]	
J48CIDIDS_RODADA_1_5F(52)	98.16024017333984	97.29582977294922	0.9687798619270325	[56, 41, 40, 49, 42]	
J48CIDIDS_RODADA_1_5F(53)	98.16024017333984	97.29582977294922	0.9687798619270325	[56, 41, 40, 49, 42]	
J48CIDIDS_RODADA_1_5F(54)	98.16024017333984	97.29582977294922	0.9687798619270325	[56, 41, 40, 49, 42]	
J48CIDIDS_RODADA_1_5F(55)	98.16024017333984	97.29582977294922	0.9687798619270325	[56, 41, 40, 49, 42]	
J48CIDIDS_RODADA_1_5F(56)	98.16024017333984	97.29582977294922	0.9687798619270325	[56, 41, 40, 49, 42]	
