RandomTreeGRASP-RVND_KDD_RODADA_1_5F_	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(1)	82.41463470458984	25.83249282836914	0.25751957297325134	[10, 18, 37, 39, 3]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(2)	82.41463470458984	25.83249282836914	0.25751957297325134	[10, 18, 37, 39, 3]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(3)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(4)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(5)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(6)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(7)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(8)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(9)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(10)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(11)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(12)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(13)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
RandomTreeGRASP-RVND_KDD_RODADA_1_5F_(14)	85.31661224365234	37.63874816894531	0.08240626007318497	[36, 3, 6, 1, 23]	
