RandomForestGRASP-RVND_KDD_RODADA_1_5F_	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(1)	80.28546905517578	15.977127075195312	0.020601565018296242	[11, 9, 18, 17, 37]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(2)	81.1055908203125	19.710729598999023	0.09270704537630081	[22, 6, 23, 24, 1]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(3)	81.1055908203125	19.710729598999023	0.09270704537630081	[22, 6, 23, 24, 1]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(4)	81.1055908203125	19.710729598999023	0.09270704537630081	[22, 6, 23, 24, 1]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(5)	83.7946548461914	31.0797176361084	0.061804696917533875	[9, 6, 18, 10, 3]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(6)	83.7946548461914	31.0797176361084	0.061804696917533875	[9, 6, 18, 10, 3]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(7)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(8)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(9)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(10)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(11)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(12)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(13)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(14)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(15)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(16)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(17)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(18)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(19)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(20)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(21)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(22)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(23)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(24)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(25)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(26)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(27)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(28)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(29)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
RandomForestGRASP-RVND_KDD_RODADA_1_5F_(30)	85.05638122558594	36.52875900268555	0.08240626007318497	[22, 1, 6, 11, 18]	
