RandomTreeWSN_RODADA_1_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
RandomTreeWSN_RODADA_1_5F(1)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 8, 17, 5, 11]	
RandomTreeWSN_RODADA_1_5F(2)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 8, 3, 12, 17]	
RandomTreeWSN_RODADA_1_5F(3)	97.60994720458984	98.76506805419922	3.469153881072998	[3, 8, 17, 11, 1]	
RandomTreeWSN_RODADA_1_5F(4)	97.60994720458984	98.76506805419922	3.469153881072998	[3, 8, 17, 11, 1]	
RandomTreeWSN_RODADA_1_5F(5)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 8, 5, 4, 11]	
RandomTreeWSN_RODADA_1_5F(6)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 8, 5, 11, 7]	
RandomTreeWSN_RODADA_1_5F(7)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 11, 3, 8, 17]	
RandomTreeWSN_RODADA_1_5F(8)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 11, 3, 8, 17]	
RandomTreeWSN_RODADA_1_5F(9)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 8, 17, 5, 11]	
RandomTreeWSN_RODADA_1_5F(10)	97.60994720458984	98.76506805419922	3.469153881072998	[17, 3, 11, 13, 12]	
RandomTreeWSN_RODADA_1_5F(11)	97.60994720458984	98.76506805419922	3.469153881072998	[3, 5, 13, 12, 6]	
RandomTreeWSN_RODADA_1_5F(12)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 17, 5, 11, 18]	
RandomTreeWSN_RODADA_1_5F(13)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 17, 5, 11, 18]	
RandomTreeWSN_RODADA_1_5F(14)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 17, 5, 11, 18]	
RandomTreeWSN_RODADA_1_5F(15)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 8, 5, 11, 14]	
RandomTreeWSN_RODADA_1_5F(16)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 17, 5, 11, 1]	
RandomTreeWSN_RODADA_1_5F(17)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 17, 5, 11, 1]	
RandomTreeWSN_RODADA_1_5F(18)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 8, 3, 12, 17]	
RandomTreeWSN_RODADA_1_5F(19)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 8, 3, 12, 17]	
RandomTreeWSN_RODADA_1_5F(20)	97.60994720458984	98.76506805419922	3.469153881072998	[17, 13, 11, 3, 12]	
RandomTreeWSN_RODADA_1_5F(21)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 8, 17, 5, 1]	
RandomTreeWSN_RODADA_1_5F(22)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 8, 17, 5, 1]	
RandomTreeWSN_RODADA_1_5F(23)	97.60994720458984	98.76506805419922	3.469153881072998	[3, 8, 17, 5, 11]	
RandomTreeWSN_RODADA_1_5F(24)	97.60994720458984	98.76506805419922	3.469153881072998	[3, 8, 17, 5, 11]	
RandomTreeWSN_RODADA_1_5F(25)	97.60994720458984	98.76506805419922	3.469153881072998	[17, 6, 3, 12, 8]	
RandomTreeWSN_RODADA_1_5F(26)	97.60994720458984	98.76506805419922	3.469153881072998	[5, 12, 3, 6, 8]	
RandomTreeWSN_RODADA_1_5F(27)	97.60994720458984	98.76506805419922	3.469153881072998	[5, 12, 3, 6, 8]	
RandomTreeWSN_RODADA_1_5F(28)	97.60994720458984	98.76506805419922	3.469153881072998	[5, 3, 13, 12, 8]	
RandomTreeWSN_RODADA_1_5F(29)	97.60994720458984	98.76506805419922	3.469153881072998	[8, 6, 5, 3, 13]	
RandomTreeWSN_RODADA_1_5F(30)	97.60994720458984	98.76506805419922	3.469153881072998	[17, 6, 3, 12, 8]	
RandomTreeWSN_RODADA_1_5F(31)	97.60994720458984	98.76506805419922	3.469153881072998	[17, 6, 3, 12, 8]	
RandomTreeWSN_RODADA_1_5F(32)	97.60994720458984	98.76506805419922	3.469153881072998	[17, 6, 3, 12, 8]	
RandomTreeWSN_RODADA_1_5F(33)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 8, 5, 11, 9]	
RandomTreeWSN_RODADA_1_5F(34)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 8, 5, 11, 9]	
RandomTreeWSN_RODADA_1_5F(35)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 8, 5, 11, 1]	
RandomTreeWSN_RODADA_1_5F(36)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 8, 17, 5, 7]	
RandomTreeWSN_RODADA_1_5F(37)	97.60994720458984	98.76506805419922	3.469153881072998	[5, 6, 3, 12, 8]	
RandomTreeWSN_RODADA_1_5F(38)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 8, 5, 11, 18]	
RandomTreeWSN_RODADA_1_5F(39)	97.60994720458984	98.76506805419922	3.469153881072998	[3, 5, 12, 13, 8]	
RandomTreeWSN_RODADA_1_5F(40)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 8, 17, 5, 11]	
RandomTreeWSN_RODADA_1_5F(41)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 8, 17, 5, 11]	
RandomTreeWSN_RODADA_1_5F(42)	97.60994720458984	98.76506805419922	3.469153881072998	[3, 5, 13, 12, 8]	
RandomTreeWSN_RODADA_1_5F(43)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 8, 17, 5, 11]	
RandomTreeWSN_RODADA_1_5F(44)	97.60994720458984	98.76506805419922	3.469153881072998	[5, 3, 13, 12, 6]	
RandomTreeWSN_RODADA_1_5F(45)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 8, 17, 5, 11]	
RandomTreeWSN_RODADA_1_5F(46)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 8, 17, 5, 11]	
RandomTreeWSN_RODADA_1_5F(47)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 3, 17, 12, 8]	
RandomTreeWSN_RODADA_1_5F(48)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 3, 17, 12, 8]	
RandomTreeWSN_RODADA_1_5F(49)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 3, 17, 12, 8]	
RandomTreeWSN_RODADA_1_5F(50)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 3, 17, 12, 8]	
