J48_KDD_RODADA_1_5F_	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
J48_KDD_RODADA_1_5F_(1)	80.28546905517578	16.01076316833496	0.030902348458766937	[11, 22, 9, 14, 17]	
J48_KDD_RODADA_1_5F_(2)	80.28546905517578	16.01076316833496	0.030902348458766937	[11, 22, 9, 14, 17]	
J48_KDD_RODADA_1_5F_(3)	80.28546905517578	15.977127075195312	0.020601565018296242	[17, 11, 13, 18, 37]	
J48_KDD_RODADA_1_5F_(4)	80.28546905517578	15.977127075195312	0.020601565018296242	[17, 11, 13, 18, 37]	
J48_KDD_RODADA_1_5F_(5)	80.28546905517578	15.977127075195312	0.020601565018296242	[17, 11, 13, 18, 37]	
J48_KDD_RODADA_1_5F_(6)	80.28546905517578	15.977127075195312	0.020601565018296242	[17, 11, 13, 18, 37]	
J48_KDD_RODADA_1_5F_(7)	81.87840270996094	22.939790725708008	0.07210548222064972	[14, 1, 6, 36, 3]	
J48_KDD_RODADA_1_5F_(8)	81.87840270996094	22.939790725708008	0.07210548222064972	[14, 1, 6, 36, 3]	
J48_KDD_RODADA_1_5F_(9)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(10)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(11)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(12)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(13)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(14)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(15)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(16)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(17)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(18)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(19)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(20)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(21)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(22)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(23)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(24)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(25)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(26)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(27)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(28)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(29)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(30)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(31)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(32)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(33)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(34)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(35)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(36)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(37)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(38)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
J48_KDD_RODADA_1_5F_(39)	82.86412811279297	27.245206832885742	0.10300783067941666	[3, 6, 36, 10, 11]	
