KNNGRASP-RVND_KDD_RODADA_1_5F_	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
KNNGRASP-RVND_KDD_RODADA_1_5F_(39)	85.00118255615234	36.39421463012695	0.1133086085319519	[3, 6, 10, 18, 36]	
KNNGRASP-RVND_KDD_RODADA_1_5F_(40)	85.00118255615234	36.39421463012695	0.1133086085319519	[3, 6, 10, 18, 36]	
KNNGRASP-RVND_KDD_RODADA_1_5F_(41)	85.00118255615234	36.39421463012695	0.1133086085319519	[3, 6, 10, 18, 36]	
KNNGRASP-RVND_KDD_RODADA_1_5F_(42)	85.00118255615234	36.39421463012695	0.1133086085319519	[3, 6, 10, 18, 36]	
KNNGRASP-RVND_KDD_RODADA_1_5F_(43)	85.00118255615234	36.39421463012695	0.1133086085319519	[3, 6, 10, 18, 36]	
KNNGRASP-RVND_KDD_RODADA_1_5F_(44)	85.00118255615234	36.39421463012695	0.1133086085319519	[3, 6, 10, 18, 36]	
KNNGRASP-RVND_KDD_RODADA_1_5F_(45)	85.00118255615234	36.39421463012695	0.1133086085319519	[3, 6, 10, 18, 36]	
KNNGRASP-RVND_KDD_RODADA_1_5F_(46)	85.00118255615234	36.39421463012695	0.1133086085319519	[3, 6, 10, 18, 36]	
KNNGRASP-RVND_KDD_RODADA_1_5F_(47)	85.00118255615234	36.39421463012695	0.1133086085319519	[3, 6, 10, 18, 36]	
KNNGRASP-RVND_KDD_RODADA_1_5F_(48)	85.00118255615234	36.39421463012695	0.1133086085319519	[3, 6, 10, 18, 36]	
KNNGRASP-RVND_KDD_RODADA_1_5F_(49)	85.00118255615234	36.39421463012695	0.1133086085319519	[3, 6, 10, 18, 36]	
KNNGRASP-RVND_KDD_RODADA_1_5F_(50)	85.00118255615234	36.39421463012695	0.1133086085319519	[3, 6, 10, 18, 36]	
