REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_2_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_2_5F(40)	83.9891128540039	68.3227767944336	0.22535167634487152	[7, 35, 43, 9, 49]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_2_5F(41)	83.9891128540039	68.3227767944336	0.22535167634487152	[7, 35, 43, 9, 49]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_2_5F(42)	83.9891128540039	68.3227767944336	0.22535167634487152	[7, 35, 43, 9, 49]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_2_5F(43)	83.9891128540039	68.3227767944336	0.22535167634487152	[7, 35, 43, 9, 49]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_2_5F(44)	83.9891128540039	68.3227767944336	0.22535167634487152	[7, 35, 43, 9, 49]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_2_5F(45)	83.9891128540039	68.3227767944336	0.22535167634487152	[7, 35, 43, 9, 49]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_2_5F(46)	83.9891128540039	68.3227767944336	0.22535167634487152	[7, 35, 43, 9, 49]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_2_5F(47)	83.9891128540039	68.3227767944336	0.22535167634487152	[7, 35, 43, 9, 49]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_2_5F(48)	83.9891128540039	68.3227767944336	0.22535167634487152	[7, 35, 43, 9, 49]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_2_5F(49)	83.9891128540039	68.3227767944336	0.22535167634487152	[7, 35, 43, 9, 49]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_2_5F(50)	83.9891128540039	68.3227767944336	0.22535167634487152	[7, 35, 43, 9, 49]	
