REPTreeGRASP-RVND_KDD_RODADA_1_5F_	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
REPTreeGRASP-RVND_KDD_RODADA_1_5F_(38)	83.45556640625	29.667003631591797	0.07210548222064972	[36, 33, 18, 3, 6]	
REPTreeGRASP-RVND_KDD_RODADA_1_5F_(39)	83.45556640625	29.667003631591797	0.07210548222064972	[36, 33, 18, 3, 6]	
REPTreeGRASP-RVND_KDD_RODADA_1_5F_(40)	83.45556640625	29.667003631591797	0.07210548222064972	[36, 33, 18, 3, 6]	
REPTreeGRASP-RVND_KDD_RODADA_1_5F_(41)	83.45556640625	29.667003631591797	0.07210548222064972	[36, 33, 18, 3, 6]	
REPTreeGRASP-RVND_KDD_RODADA_1_5F_(42)	83.45556640625	29.667003631591797	0.07210548222064972	[36, 33, 18, 3, 6]	
REPTreeGRASP-RVND_KDD_RODADA_1_5F_(43)	83.45556640625	29.667003631591797	0.07210548222064972	[36, 33, 18, 3, 6]	
REPTreeGRASP-RVND_KDD_RODADA_1_5F_(44)	83.45556640625	29.667003631591797	0.07210548222064972	[36, 33, 18, 3, 6]	
REPTreeGRASP-RVND_KDD_RODADA_1_5F_(45)	83.45556640625	29.667003631591797	0.07210548222064972	[36, 33, 18, 3, 6]	
REPTreeGRASP-RVND_KDD_RODADA_1_5F_(46)	83.45556640625	29.667003631591797	0.07210548222064972	[36, 33, 6, 18, 3]	
REPTreeGRASP-RVND_KDD_RODADA_1_5F_(47)	83.45556640625	29.667003631591797	0.07210548222064972	[36, 33, 6, 18, 3]	
REPTreeGRASP-RVND_KDD_RODADA_1_5F_(48)	83.45556640625	29.667003631591797	0.07210548222064972	[36, 33, 6, 18, 3]	
REPTreeGRASP-RVND_KDD_RODADA_1_5F_(49)	83.45556640625	29.667003631591797	0.07210548222064972	[36, 33, 6, 18, 3]	
REPTreeGRASP-RVND_KDD_RODADA_1_5F_(50)	83.45556640625	29.667003631591797	0.07210548222064972	[36, 33, 6, 18, 3]	
