NaiveBayes_KDD_RODADA_1_5F_	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
NaiveBayes_KDD_RODADA_1_5F_(30)	86.44429016113281	44.231414794921875	0.6283477544784546	[11, 22, 3, 36, 9]	
NaiveBayes_KDD_RODADA_1_5F_(31)	86.44429016113281	44.231414794921875	0.6283477544784546	[11, 22, 3, 36, 9]	
NaiveBayes_KDD_RODADA_1_5F_(32)	86.44429016113281	44.231414794921875	0.6283477544784546	[11, 22, 3, 36, 9]	
NaiveBayes_KDD_RODADA_1_5F_(33)	86.44429016113281	44.231414794921875	0.6283477544784546	[11, 22, 3, 36, 9]	
NaiveBayes_KDD_RODADA_1_5F_(34)	86.44429016113281	44.231414794921875	0.6283477544784546	[11, 22, 3, 36, 9]	
NaiveBayes_KDD_RODADA_1_5F_(35)	86.44429016113281	44.231414794921875	0.6283477544784546	[11, 22, 3, 36, 9]	
NaiveBayes_KDD_RODADA_1_5F_(36)	86.44429016113281	44.231414794921875	0.6283477544784546	[11, 22, 3, 36, 9]	
NaiveBayes_KDD_RODADA_1_5F_(37)	86.44429016113281	44.231414794921875	0.6283477544784546	[11, 22, 3, 36, 9]	
NaiveBayes_KDD_RODADA_1_5F_(38)	86.44429016113281	44.231414794921875	0.6283477544784546	[11, 22, 3, 36, 9]	
NaiveBayes_KDD_RODADA_1_5F_(39)	86.44429016113281	44.231414794921875	0.6283477544784546	[11, 22, 3, 36, 9]	
NaiveBayes_KDD_RODADA_1_5F_(40)	86.44429016113281	44.231414794921875	0.6283477544784546	[11, 22, 3, 36, 9]	
NaiveBayes_KDD_RODADA_1_5F_(41)	86.44429016113281	44.231414794921875	0.6283477544784546	[11, 22, 3, 36, 9]	
NaiveBayes_KDD_RODADA_1_5F_(42)	86.44429016113281	44.231414794921875	0.6283477544784546	[11, 22, 3, 36, 9]	
NaiveBayes_KDD_RODADA_1_5F_(43)	86.44429016113281	44.231414794921875	0.6283477544784546	[11, 22, 3, 36, 9]	
NaiveBayes_KDD_RODADA_1_5F_(44)	86.44429016113281	44.231414794921875	0.6283477544784546	[11, 22, 3, 36, 9]	
NaiveBayes_KDD_RODADA_1_5F_(45)	86.44429016113281	44.231414794921875	0.6283477544784546	[11, 22, 3, 36, 9]	
NaiveBayes_KDD_RODADA_1_5F_(46)	86.44429016113281	44.231414794921875	0.6283477544784546	[11, 22, 3, 36, 9]	
NaiveBayes_KDD_RODADA_1_5F_(47)	86.44429016113281	44.231414794921875	0.6283477544784546	[11, 22, 3, 36, 9]	
NaiveBayes_KDD_RODADA_1_5F_(48)	86.44429016113281	44.231414794921875	0.6283477544784546	[11, 22, 3, 36, 9]	
NaiveBayes_KDD_RODADA_1_5F_(49)	86.44429016113281	44.231414794921875	0.6283477544784546	[11, 22, 3, 36, 9]	
NaiveBayes_KDD_RODADA_1_5F_(50)	86.44429016113281	44.231414794921875	0.6283477544784546	[11, 22, 3, 36, 9]	
