RandomForestCIDIDS_RODADA_1_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
RandomForestCIDIDS_RODADA_1_5F(48)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(49)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(50)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(51)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(52)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(53)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(54)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(55)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(56)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(57)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(58)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(59)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
RandomForestCIDIDS_RODADA_1_5F(60)	95.77581787109375	98.89173889160156	7.363811492919922	[40, 49, 6, 66, 55]	
