NBTreeGRASP-RVND_KDD_RODADA_1_5F_	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
NBTreeGRASP-RVND_KDD_RODADA_1_5F_	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(39)	85.11158752441406	36.89875411987305	0.12360939383506775	[1, 3, 40, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(40)	85.11158752441406	36.89875411987305	0.12360939383506775	[1, 3, 40, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(41)	85.11158752441406	36.89875411987305	0.12360939383506775	[1, 3, 40, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(42)	85.11158752441406	36.89875411987305	0.12360939383506775	[1, 3, 40, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(43)	85.11158752441406	36.89875411987305	0.12360939383506775	[1, 3, 40, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(44)	85.11158752441406	36.89875411987305	0.12360939383506775	[1, 3, 40, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(45)	85.11158752441406	36.89875411987305	0.12360939383506775	[1, 3, 40, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(46)	85.11158752441406	36.89875411987305	0.12360939383506775	[1, 3, 40, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(47)	85.11158752441406	36.89875411987305	0.12360939383506775	[1, 3, 40, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(1)	80.35643768310547	16.347124099731445	0.041203130036592484	[17, 3, 13, 11, 9]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(2)	81.80742645263672	22.7043399810791	0.09270704537630081	[37, 33, 36, 22, 3]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(3)	81.95726013183594	23.276151657104492	0.07210548222064972	[6, 3, 11, 1, 22]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(4)	81.95726013183594	23.276151657104492	0.07210548222064972	[6, 3, 11, 1, 22]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(5)	81.95726013183594	23.276151657104492	0.07210548222064972	[6, 3, 11, 1, 22]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(6)	81.95726013183594	23.276151657104492	0.07210548222064972	[6, 3, 11, 1, 22]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(7)	81.95726013183594	23.276151657104492	0.07210548222064972	[6, 3, 11, 1, 22]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(8)	81.95726013183594	23.276151657104492	0.07210548222064972	[6, 3, 11, 1, 22]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(9)	82.48561096191406	25.563404083251953	0.08240626007318497	[17, 13, 33, 1, 3]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(10)	82.48561096191406	25.563404083251953	0.08240626007318497	[17, 13, 33, 1, 3]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(11)	82.48561096191406	25.563404083251953	0.08240626007318497	[17, 13, 33, 1, 3]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(12)	82.48561096191406	25.563404083251953	0.08240626007318497	[17, 13, 33, 1, 3]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(13)	82.48561096191406	25.563404083251953	0.08240626007318497	[17, 13, 33, 1, 3]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(14)	82.48561096191406	25.563404083251953	0.08240626007318497	[17, 13, 33, 1, 3]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(15)	82.48561096191406	25.563404083251953	0.08240626007318497	[17, 13, 33, 1, 3]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(16)	84.76461029052734	35.3851318359375	0.1133086085319519	[13, 3, 36, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(17)	84.76461029052734	35.3851318359375	0.1133086085319519	[13, 3, 36, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(18)	84.76461029052734	35.3851318359375	0.1133086085319519	[13, 3, 36, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(19)	84.76461029052734	35.3851318359375	0.1133086085319519	[13, 3, 36, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(20)	84.76461029052734	35.3851318359375	0.1133086085319519	[13, 3, 36, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(21)	84.76461029052734	35.3851318359375	0.1133086085319519	[13, 3, 36, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(22)	84.76461029052734	35.3851318359375	0.1133086085319519	[13, 3, 36, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(23)	84.76461029052734	35.3851318359375	0.1133086085319519	[13, 3, 36, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(24)	84.76461029052734	35.3851318359375	0.1133086085319519	[13, 3, 36, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(25)	84.76461029052734	35.3851318359375	0.1133086085319519	[13, 3, 36, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(26)	84.76461029052734	35.3851318359375	0.1133086085319519	[13, 3, 36, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(27)	84.76461029052734	35.3851318359375	0.1133086085319519	[13, 3, 36, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(28)	84.76461029052734	35.3851318359375	0.1133086085319519	[13, 3, 36, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(29)	84.76461029052734	35.3851318359375	0.1133086085319519	[13, 3, 36, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(30)	84.76461029052734	35.3851318359375	0.1133086085319519	[13, 3, 36, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(31)	84.76461029052734	35.3851318359375	0.1133086085319519	[13, 3, 36, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(32)	84.76461029052734	35.3851318359375	0.1133086085319519	[13, 3, 36, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(33)	84.76461029052734	35.3851318359375	0.1133086085319519	[13, 3, 36, 11, 6]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(34)	84.76461029052734	35.351497650146484	0.10300783067941666	[9, 3, 6, 36, 13]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(35)	84.76461029052734	35.351497650146484	0.10300783067941666	[9, 3, 6, 36, 13]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(36)	84.76461029052734	35.351497650146484	0.10300783067941666	[9, 3, 6, 36, 13]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(37)	84.76461029052734	35.351497650146484	0.10300783067941666	[9, 3, 6, 36, 13]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(38)	84.76461029052734	35.3851318359375	0.1133086085319519	[3, 6, 36, 13, 11]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(39)	84.76461029052734	35.3851318359375	0.1133086085319519	[3, 6, 36, 13, 11]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(40)	84.76461029052734	35.3851318359375	0.1133086085319519	[3, 6, 36, 13, 11]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(41)	84.76461029052734	35.3851318359375	0.1133086085319519	[3, 6, 36, 13, 11]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(42)	84.76461029052734	35.3851318359375	0.1133086085319519	[3, 6, 36, 13, 11]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(43)	84.76461029052734	35.3851318359375	0.1133086085319519	[3, 6, 36, 13, 11]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(44)	84.76461029052734	35.3851318359375	0.1133086085319519	[3, 6, 36, 13, 11]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(45)	84.76461029052734	35.3851318359375	0.1133086085319519	[3, 6, 36, 13, 11]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(46)	84.76461029052734	35.3851318359375	0.1133086085319519	[3, 6, 36, 13, 11]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(47)	84.76461029052734	35.3851318359375	0.1133086085319519	[3, 6, 36, 13, 11]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(48)	84.76461029052734	35.3851318359375	0.1133086085319519	[11, 36, 6, 3, 13]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(49)	84.76461029052734	35.3851318359375	0.1133086085319519	[11, 36, 6, 3, 13]	
NBTreeGRASP-RVND_KDD_RODADA_1_5F_(50)	84.76461029052734	35.3851318359375	0.1133086085319519	[11, 36, 6, 3, 13]	
