NBTree_KDD_RODADA_1_5F_	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
NBTree_KDD_RODADA_1_5F_(32)	85.09580993652344	36.66330337524414	0.07210548222064972	[6, 38, 3, 1, 11]	
NBTree_KDD_RODADA_1_5F_(33)	85.09580993652344	36.66330337524414	0.07210548222064972	[6, 38, 3, 1, 11]	
NBTree_KDD_RODADA_1_5F_(34)	85.09580993652344	36.66330337524414	0.07210548222064972	[6, 38, 3, 1, 11]	
NBTree_KDD_RODADA_1_5F_(35)	85.09580993652344	36.66330337524414	0.07210548222064972	[6, 38, 3, 1, 11]	
NBTree_KDD_RODADA_1_5F_(36)	85.09580993652344	36.66330337524414	0.07210548222064972	[6, 38, 3, 1, 11]	
NBTree_KDD_RODADA_1_5F_(37)	85.09580993652344	36.66330337524414	0.07210548222064972	[6, 38, 3, 1, 11]	
NBTree_KDD_RODADA_1_5F_(38)	85.09580993652344	36.66330337524414	0.07210548222064972	[6, 38, 3, 1, 11]	
NBTree_KDD_RODADA_1_5F_(39)	85.09580993652344	36.66330337524414	0.07210548222064972	[6, 38, 3, 1, 11]	
NBTree_KDD_RODADA_1_5F_(40)	85.09580993652344	36.66330337524414	0.07210548222064972	[6, 38, 3, 1, 11]	
NBTree_KDD_RODADA_1_5F_(41)	85.09580993652344	36.66330337524414	0.07210548222064972	[6, 38, 3, 1, 11]	
NBTree_KDD_RODADA_1_5F_(42)	85.09580993652344	36.66330337524414	0.07210548222064972	[6, 38, 3, 1, 11]	
NBTree_KDD_RODADA_1_5F_(43)	85.09580993652344	36.66330337524414	0.07210548222064972	[6, 38, 3, 1, 11]	
NBTree_KDD_RODADA_1_5F_(44)	85.09580993652344	36.66330337524414	0.07210548222064972	[6, 38, 3, 1, 11]	
NBTree_KDD_RODADA_1_5F_(45)	85.09580993652344	36.66330337524414	0.07210548222064972	[6, 38, 3, 1, 11]	
NBTree_KDD_RODADA_1_5F_(46)	85.09580993652344	36.66330337524414	0.07210548222064972	[6, 38, 3, 1, 11]	
NBTree_KDD_RODADA_1_5F_(47)	85.09580993652344	36.66330337524414	0.07210548222064972	[6, 38, 3, 1, 11]	
NBTree_KDD_RODADA_1_5F_(48)	85.09580993652344	36.66330337524414	0.07210548222064972	[6, 38, 3, 1, 11]	
NBTree_KDD_RODADA_1_5F_(49)	85.09580993652344	36.66330337524414	0.07210548222064972	[6, 38, 3, 1, 11]	
NBTree_KDD_RODADA_1_5F_(50)	85.09580993652344	36.66330337524414	0.07210548222064972	[6, 38, 3, 1, 11]	
