NaiveBayesWSN_RODADA_1_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
NaiveBayesWSN_RODADA_1_5F(21)	97.60994720458984	98.76506805419922	3.469153881072998	[13, 8, 15, 3, 6]	
NaiveBayesWSN_RODADA_1_5F(22)	97.60994720458984	98.76506805419922	3.469153881072998	[13, 8, 15, 3, 6]	
NaiveBayesWSN_RODADA_1_5F(23)	97.60994720458984	98.76506805419922	3.469153881072998	[17, 12, 15, 3, 6]	
NaiveBayesWSN_RODADA_1_5F(24)	97.60994720458984	98.76506805419922	3.469153881072998	[17, 6, 15, 3, 10]	
NaiveBayesWSN_RODADA_1_5F(25)	97.60994720458984	98.76506805419922	3.469153881072998	[3, 8, 17, 15, 6]	
NaiveBayesWSN_RODADA_1_5F(26)	97.60994720458984	98.76506805419922	3.469153881072998	[12, 8, 3, 6, 10]	
NaiveBayesWSN_RODADA_1_5F(27)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 15, 17, 3, 9]	
NaiveBayesWSN_RODADA_1_5F(28)	97.60994720458984	98.76506805419922	3.469153881072998	[9, 6, 12, 3, 10]	
NaiveBayesWSN_RODADA_1_5F(29)	97.60994720458984	98.76506805419922	3.469153881072998	[9, 3, 12, 17, 15]	
NaiveBayesWSN_RODADA_1_5F(30)	97.60994720458984	98.76506805419922	3.469153881072998	[12, 17, 3, 6, 10]	
NaiveBayesWSN_RODADA_1_5F(31)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 17, 15, 3, 10]	
NaiveBayesWSN_RODADA_1_5F(32)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 17, 15, 3, 10]	
NaiveBayesWSN_RODADA_1_5F(33)	97.60994720458984	98.76506805419922	3.469153881072998	[6, 17, 15, 3, 10]	
NaiveBayesWSN_RODADA_1_5F(34)	97.60994720458984	98.76506805419922	3.469153881072998	[12, 17, 3, 6, 10]	
NaiveBayesWSN_RODADA_1_5F(35)	97.60994720458984	98.76506805419922	3.469153881072998	[12, 17, 3, 6, 10]	
NaiveBayesWSN_RODADA_1_5F(36)	97.60994720458984	98.76506805419922	3.469153881072998	[17, 12, 15, 3, 6]	
NaiveBayesWSN_RODADA_1_5F(37)	97.60994720458984	98.76506805419922	3.469153881072998	[17, 12, 15, 3, 6]	
NaiveBayesWSN_RODADA_1_5F(38)	97.60994720458984	98.76506805419922	3.469153881072998	[17, 12, 15, 3, 6]	
NaiveBayesWSN_RODADA_1_5F(39)	97.60994720458984	98.76506805419922	3.469153881072998	[12, 9, 8, 3]	
NaiveBayesWSN_RODADA_1_5F(40)	97.60994720458984	98.76506805419922	3.469153881072998	[3, 13, 18, 17, 15]	
