RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_2_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_2_5F(40)	84.09461212158203	68.32469940185547	0.015488088130950928	[43, 41, 5, 35, 7]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_2_5F(41)	84.09461212158203	68.32469940185547	0.015488088130950928	[43, 41, 5, 35, 7]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_2_5F(42)	84.09461212158203	68.32469940185547	0.015488088130950928	[43, 41, 5, 35, 7]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_2_5F(43)	84.09461212158203	68.32469940185547	0.015488088130950928	[43, 41, 5, 35, 7]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_2_5F(44)	84.09461212158203	68.32469940185547	0.015488088130950928	[43, 41, 5, 35, 7]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_2_5F(45)	84.09461212158203	68.32469940185547	0.015488088130950928	[43, 41, 5, 35, 7]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_2_5F(46)	84.09461212158203	68.32469940185547	0.015488088130950928	[43, 41, 5, 35, 7]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_2_5F(47)	84.09461212158203	68.32469940185547	0.015488088130950928	[43, 41, 5, 35, 7]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_2_5F(48)	84.09461212158203	68.32469940185547	0.015488088130950928	[43, 41, 5, 35, 7]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_2_5F(49)	84.09461212158203	68.32469940185547	0.015488088130950928	[43, 41, 5, 35, 7]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_2_5F(50)	84.09461212158203	68.32469940185547	0.015488088130950928	[43, 41, 5, 35, 7]	
