binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 123|, Acc: 97.60994720458984%s (VN: 35394.0 VP: 33830.0 FN: 423.0 FP: 1272.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 104|, Acc: 93.49821472167969%s (VN: 33406.0 VP: 32902.0 FN: 1351.0 FP: 3260.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 100|, Acc: 97.60994720458984%s (VN: 35394.0 VP: 33830.0 FN: 423.0 FP: 1272.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 110|, Acc: 97.60994720458984%s (VN: 35394.0 VP: 33830.0 FN: 423.0 FP: 1272.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 93|, Acc: 96.33807373046875%s (VN: 35423.0 VP: 32899.0 FN: 1354.0 FP: 1243.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 109|, Acc: 97.60994720458984%s (VN: 35394.0 VP: 33830.0 FN: 423.0 FP: 1272.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 154|, Acc: 97.04733276367188%s (VN: 34987.0 VP: 33838.0 FN: 415.0 FP: 1679.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 163|, Acc: 97.04733276367188%s (VN: 34987.0 VP: 33838.0 FN: 415.0 FP: 1679.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 141|, Acc: 95.80084228515625%s (VN: 35333.0 VP: 32608.0 FN: 1645.0 FP: 1333.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 161|, Acc: 77.06961822509766%s (VN: 23863.0 VP: 30794.0 FN: 3459.0 FP: 12803.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 148|, Acc: 77.35444641113281%s (VN: 24078.0 VP: 30781.0 FN: 3472.0 FP: 12588.0)
