RandomTreeGRASP-RVND_KDD_RODADA_2_5F_	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
RandomTreeGRASP-RVND_KDD_RODADA_2_5F_(1)	80.29335021972656	16.04439926147461	0.030902348458766937	[11, 14, 18, 17, 13]	
RandomTreeGRASP-RVND_KDD_RODADA_2_5F_(2)	81.54719543457031	22.132526397705078	0.25751957297325134	[11, 3, 37, 9, 22]	
RandomTreeGRASP-RVND_KDD_RODADA_2_5F_(3)	82.36732482910156	25.22704315185547	0.1339101791381836	[11, 1, 6, 10, 22]	
RandomTreeGRASP-RVND_KDD_RODADA_2_5F_(4)	82.36732482910156	25.22704315185547	0.1339101791381836	[11, 1, 6, 10, 22]	
RandomTreeGRASP-RVND_KDD_RODADA_2_5F_(5)	82.82469940185547	27.009754180908203	0.08240626007318497	[10, 38, 22, 3, 6]	
RandomTreeGRASP-RVND_KDD_RODADA_2_5F_(6)	82.82469940185547	27.009754180908203	0.08240626007318497	[10, 38, 22, 3, 6]	
RandomTreeGRASP-RVND_KDD_RODADA_2_5F_(7)	82.82469940185547	27.009754180908203	0.08240626007318497	[10, 38, 22, 3, 6]	
RandomTreeGRASP-RVND_KDD_RODADA_2_5F_(8)	82.82469940185547	27.009754180908203	0.08240626007318497	[10, 38, 22, 3, 6]	
RandomTreeGRASP-RVND_KDD_RODADA_2_5F_(9)	82.82469940185547	27.009754180908203	0.08240626007318497	[10, 38, 22, 3, 6]	
RandomTreeGRASP-RVND_KDD_RODADA_2_5F_(10)	83.534423828125	29.969728469848633	0.061804696917533875	[3, 6, 11, 9, 10]	
RandomTreeGRASP-RVND_KDD_RODADA_2_5F_(11)	83.534423828125	29.969728469848633	0.061804696917533875	[3, 6, 11, 9, 10]	
RandomTreeGRASP-RVND_KDD_RODADA_2_5F_(12)	83.534423828125	29.969728469848633	0.061804696917533875	[3, 6, 11, 9, 10]	
RandomTreeGRASP-RVND_KDD_RODADA_2_5F_(13)	83.534423828125	29.969728469848633	0.061804696917533875	[3, 6, 11, 9, 10]	
RandomTreeGRASP-RVND_KDD_RODADA_2_5F_(14)	84.23625946044922	32.96333694458008	0.061804696917533875	[39, 10, 22, 3, 6]	
