KNNWSN_RODADA_1_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
KNNWSN_RODADA_1_5F(1)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 17, 5]	
KNNWSN_RODADA_1_5F(2)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 17, 5]	
KNNWSN_RODADA_1_5F(3)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 17, 5]	
KNNWSN_RODADA_1_5F(4)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 17, 5]	
KNNWSN_RODADA_1_5F(5)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 17, 5]	
KNNWSN_RODADA_1_5F(6)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 17, 5]	
KNNWSN_RODADA_1_5F(7)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 17, 5]	
KNNWSN_RODADA_1_5F(8)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 17, 5]	
KNNWSN_RODADA_1_5F(9)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 17, 5]	
KNNWSN_RODADA_1_5F(10)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 17, 5]	
KNNWSN_RODADA_1_5F(11)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 17, 5]	
KNNWSN_RODADA_1_5F(12)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 17, 5]	
KNNWSN_RODADA_1_5F(13)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 17, 5]	
KNNWSN_RODADA_1_5F(14)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 17, 5]	
KNNWSN_RODADA_1_5F(15)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 17, 5]	
KNNWSN_RODADA_1_5F(16)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 17, 5]	
KNNWSN_RODADA_1_5F(17)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 17, 5]	
KNNWSN_RODADA_1_5F(18)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 17, 5]	
KNNWSN_RODADA_1_5F(19)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(20)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
KNNWSN_RODADA_1_5F(21)	97.62686920166016	98.80010223388672	3.469153881072998	[13, 6, 9, 15, 7]	
