RandomForestGRASP-FS_CIDIDS_RODADA_1_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(1)	83.87532043457031	68.330078125	0.46115779876708984	[53, 64, 40, 7, 41]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(2)	83.99644470214844	68.31893920898438	0.20676596462726593	[40, 35, 54, 11, 43]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(3)	83.99644470214844	68.31893920898438	0.20676596462726593	[40, 35, 54, 11, 43]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(4)	83.99644470214844	68.31893920898438	0.20676596462726593	[40, 35, 54, 11, 43]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(5)	84.05430603027344	68.29856872558594	0.07008359581232071	[56, 13, 67, 11, 41]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(6)	84.05430603027344	68.29856872558594	0.07008359581232071	[56, 13, 67, 11, 41]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(7)	84.05430603027344	68.29856872558594	0.07008359581232071	[56, 13, 67, 11, 41]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(8)	84.05430603027344	68.29856872558594	0.07008359581232071	[56, 13, 67, 11, 41]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(9)	84.05430603027344	68.29856872558594	0.07008359581232071	[56, 13, 67, 11, 41]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(10)	84.05430603027344	68.29856872558594	0.07008359581232071	[56, 13, 67, 11, 41]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(11)	84.05430603027344	68.29856872558594	0.07008359581232071	[56, 13, 67, 11, 41]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(12)	84.05430603027344	68.29856872558594	0.07008359581232071	[56, 13, 67, 11, 41]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(13)	84.05430603027344	68.29856872558594	0.07008359581232071	[56, 13, 67, 11, 41]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(14)	84.05430603027344	68.29856872558594	0.07008359581232071	[56, 13, 67, 11, 41]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(15)	84.05430603027344	68.29856872558594	0.07008359581232071	[56, 13, 67, 11, 41]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(16)	84.0818862915039	68.31163787841797	0.02787855826318264	[64, 5, 42, 54, 67]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(17)	84.0818862915039	68.31163787841797	0.02787855826318264	[64, 5, 42, 54, 67]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(18)	84.0818862915039	68.31163787841797	0.02787855826318264	[64, 5, 42, 54, 67]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(19)	84.0818862915039	68.31163787841797	0.02787855826318264	[64, 5, 42, 54, 67]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(20)	84.0818862915039	68.31163787841797	0.02787855826318264	[64, 5, 42, 54, 67]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(21)	84.0818862915039	68.31163787841797	0.02787855826318264	[64, 5, 42, 54, 67]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(22)	84.0818862915039	68.31163787841797	0.02787855826318264	[64, 5, 42, 54, 67]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(23)	84.0818862915039	68.31163787841797	0.02787855826318264	[64, 5, 42, 54, 67]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(24)	84.0818862915039	68.31163787841797	0.02787855826318264	[64, 5, 42, 54, 67]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(25)	84.0818862915039	68.31163787841797	0.02787855826318264	[64, 5, 42, 54, 67]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(26)	84.0818862915039	68.31163787841797	0.02787855826318264	[64, 5, 42, 54, 67]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(27)	84.0818862915039	68.31163787841797	0.02787855826318264	[64, 5, 42, 54, 67]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(28)	84.0818862915039	68.31163787841797	0.02787855826318264	[64, 5, 42, 54, 67]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(29)	84.0818862915039	68.31163787841797	0.02787855826318264	[64, 5, 42, 54, 67]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(30)	84.0818862915039	68.31163787841797	0.02787855826318264	[64, 5, 42, 54, 67]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(31)	84.0818862915039	68.31163787841797	0.02787855826318264	[64, 5, 42, 54, 67]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(32)	84.0818862915039	68.31163787841797	0.02787855826318264	[64, 5, 42, 54, 67]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(33)	84.0818862915039	68.31163787841797	0.02787855826318264	[64, 5, 42, 54, 67]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(34)	84.0818862915039	68.31163787841797	0.02787855826318264	[64, 5, 42, 54, 67]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(35)	84.0818862915039	68.31163787841797	0.02787855826318264	[64, 5, 42, 54, 67]	
RandomForestGRASP-FS_CIDIDS_RODADA_1_5F(36)	84.0818862915039	68.31163787841797	0.02787855826318264	[64, 5, 42, 54, 67]	
