KNN_KDD_RODADA_1_5F_	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
KNN_KDD_RODADA_1_5F_(38)	83.81831359863281	31.0797176361084	0.030902348458766937	[6, 10, 3, 13, 9]	
KNN_KDD_RODADA_1_5F_(39)	83.81831359863281	31.0797176361084	0.030902348458766937	[6, 10, 3, 13, 9]	
KNN_KDD_RODADA_1_5F_(40)	83.81831359863281	31.0797176361084	0.030902348458766937	[6, 10, 3, 13, 9]	
KNN_KDD_RODADA_1_5F_(41)	83.81831359863281	31.0797176361084	0.030902348458766937	[6, 10, 3, 13, 9]	
KNN_KDD_RODADA_1_5F_(42)	83.81831359863281	31.0797176361084	0.030902348458766937	[6, 10, 3, 13, 9]	
KNN_KDD_RODADA_1_5F_(43)	83.81831359863281	31.0797176361084	0.030902348458766937	[6, 10, 3, 13, 9]	
KNN_KDD_RODADA_1_5F_(44)	83.81831359863281	31.0797176361084	0.030902348458766937	[6, 10, 3, 13, 9]	
KNN_KDD_RODADA_1_5F_(45)	83.81831359863281	31.0797176361084	0.030902348458766937	[6, 10, 3, 13, 9]	
KNN_KDD_RODADA_1_5F_(46)	83.81831359863281	31.0797176361084	0.030902348458766937	[6, 10, 3, 13, 9]	
KNN_KDD_RODADA_1_5F_(47)	83.81831359863281	31.0797176361084	0.030902348458766937	[6, 10, 3, 13, 9]	
KNN_KDD_RODADA_1_5F_(48)	83.81831359863281	31.0797176361084	0.030902348458766937	[6, 10, 3, 13, 9]	
KNN_KDD_RODADA_1_5F_(49)	83.81831359863281	31.0797176361084	0.030902348458766937	[6, 10, 3, 13, 9]	
KNN_KDD_RODADA_1_5F_(50)	83.81831359863281	31.0797176361084	0.030902348458766937	[6, 10, 3, 13, 9]	
