NBTreeCIDIDS_RODADA_1_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
NBTreeCIDIDS_RODADA_1_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
NBTreeCIDIDS_RODADA_1_5F(38)	99.28947448730469	98.7672348022461	0.1843082457780838	[6, 64, 40, 43, 49]	
NBTreeCIDIDS_RODADA_1_5F(39)	99.28947448730469	98.7672348022461	0.1843082457780838	[6, 64, 40, 43, 49]	
NBTreeCIDIDS_RODADA_1_5F(40)	99.28947448730469	98.7672348022461	0.1843082457780838	[6, 64, 40, 43, 49]	
NBTreeCIDIDS_RODADA_1_5F(41)	99.28947448730469	98.7672348022461	0.1843082457780838	[6, 64, 40, 43, 49]	
NBTreeCIDIDS_RODADA_1_5F(42)	99.28947448730469	98.7672348022461	0.1843082457780838	[6, 64, 40, 43, 49]	
NBTreeCIDIDS_RODADA_1_5F(43)	99.28947448730469	98.7672348022461	0.1843082457780838	[6, 64, 40, 43, 49]	
NBTreeCIDIDS_RODADA_1_5F(44)	99.28947448730469	98.7672348022461	0.1843082457780838	[64, 43, 6, 49, 40]	
NBTreeCIDIDS_RODADA_1_5F(45)	99.28947448730469	98.7672348022461	0.1843082457780838	[64, 43, 6, 49, 40]	
NBTreeCIDIDS_RODADA_1_5F(46)	99.28947448730469	98.7672348022461	0.1843082457780838	[64, 43, 6, 49, 40]	
NBTreeCIDIDS_RODADA_1_5F(47)	99.28947448730469	98.7672348022461	0.1843082457780838	[64, 43, 6, 49, 40]	
NBTreeCIDIDS_RODADA_1_5F(48)	99.28947448730469	98.7672348022461	0.1843082457780838	[64, 43, 6, 49, 40]	
NBTreeCIDIDS_RODADA_1_5F(49)	99.28947448730469	98.7672348022461	0.1843082457780838	[64, 43, 6, 49, 40]	
NBTreeCIDIDS_RODADA_1_5F(50)	99.28947448730469	98.7672348022461	0.1843082457780838	[64, 43, 6, 49, 40]	
