REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(1)	84.04601287841797	68.22901153564453	0.016649695113301277	[67, 54, 64, 40, 42]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(2)	84.04755401611328	68.24630737304688	0.030976176261901855	[64, 40, 42, 7, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(3)	84.04755401611328	68.24630737304688	0.030976176261901855	[64, 40, 42, 7, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(4)	84.04755401611328	68.24630737304688	0.030976176261901855	[64, 40, 42, 7, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(5)	84.04755401611328	68.24630737304688	0.030976176261901855	[64, 40, 42, 7, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(6)	84.04755401611328	68.24630737304688	0.030976176261901855	[64, 40, 42, 7, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(7)	84.04755401611328	68.24630737304688	0.030976176261901855	[64, 40, 42, 7, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(8)	84.04755401611328	68.24630737304688	0.030976176261901855	[64, 40, 42, 7, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(9)	84.04755401611328	68.24630737304688	0.030976176261901855	[64, 40, 42, 7, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(10)	84.04755401611328	68.24630737304688	0.030976176261901855	[64, 40, 42, 7, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(11)	84.04755401611328	68.24630737304688	0.030976176261901855	[64, 40, 42, 7, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(12)	84.04755401611328	68.24630737304688	0.030976176261901855	[64, 40, 42, 7, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(13)	84.04755401611328	68.24630737304688	0.030976176261901855	[64, 40, 42, 7, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(14)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(15)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(16)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(17)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(18)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(19)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(20)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(21)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(22)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(23)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(24)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(25)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(26)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(27)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(28)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(29)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(30)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(31)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(32)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(33)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(34)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(35)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(36)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
REPTreeTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(37)	84.0490951538086	68.2490005493164	0.030588973313570023	[64, 6, 7, 66, 67]	
