REPTree_KDD_RODADA_1_5F_	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
REPTree_KDD_RODADA_1_5F_(1)	79.51265716552734	12.647157669067383	0.010300782509148121	[11, 9, 14, 24, 3]	
REPTree_KDD_RODADA_1_5F_(2)	81.70491027832031	22.87251853942871	0.27812114357948303	[17, 3, 37, 9, 11]	
REPTree_KDD_RODADA_1_5F_(3)	81.70491027832031	22.87251853942871	0.27812114357948303	[17, 3, 37, 9, 11]	
REPTree_KDD_RODADA_1_5F_(4)	81.70491027832031	22.87251853942871	0.27812114357948303	[17, 3, 37, 9, 11]	
REPTree_KDD_RODADA_1_5F_(5)	81.70491027832031	22.87251853942871	0.27812114357948303	[17, 3, 37, 9, 11]	
REPTree_KDD_RODADA_1_5F_(6)	81.70491027832031	22.87251853942871	0.27812114357948303	[17, 3, 37, 9, 11]	
REPTree_KDD_RODADA_1_5F_(7)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(8)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(9)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(10)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(11)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(12)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(13)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(14)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(15)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(16)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(17)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(18)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(19)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(20)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(21)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(22)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(23)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(24)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(25)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(26)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(27)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(28)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(29)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(30)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(31)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(32)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(33)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(34)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(35)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(36)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(37)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(38)	81.73645782470703	23.10797119140625	0.30902349948883057	[14, 6, 3, 9, 37]	
REPTree_KDD_RODADA_1_5F_(39)	81.82319641113281	22.737974166870117	0.08240626007318497	[11, 23, 3, 36, 6]	
REPTree_KDD_RODADA_1_5F_(40)	81.82319641113281	22.737974166870117	0.08240626007318497	[11, 23, 3, 36, 6]	
REPTree_KDD_RODADA_1_5F_(41)	81.82319641113281	22.737974166870117	0.08240626007318497	[11, 23, 3, 36, 6]	
REPTree_KDD_RODADA_1_5F_(42)	81.82319641113281	22.737974166870117	0.08240626007318497	[11, 23, 3, 36, 6]	
