J48GRASP-RVND_KDD_RODADA_1_5F_	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
J48GRASP-RVND_KDD_RODADA_1_5F_(39)	82.90355682373047	27.985200881958008	0.27812114357948303	[10, 11, 37, 3, 1]	
J48GRASP-RVND_KDD_RODADA_1_5F_(40)	82.90355682373047	27.985200881958008	0.27812114357948303	[10, 11, 37, 3, 1]	
J48GRASP-RVND_KDD_RODADA_1_5F_(41)	82.90355682373047	27.985200881958008	0.27812114357948303	[10, 11, 37, 3, 1]	
J48GRASP-RVND_KDD_RODADA_1_5F_(42)	82.90355682373047	27.985200881958008	0.27812114357948303	[10, 11, 37, 3, 1]	
J48GRASP-RVND_KDD_RODADA_1_5F_(43)	82.90355682373047	27.985200881958008	0.27812114357948303	[10, 11, 37, 3, 1]	
J48GRASP-RVND_KDD_RODADA_1_5F_(44)	82.90355682373047	27.985200881958008	0.27812114357948303	[10, 11, 37, 3, 1]	
J48GRASP-RVND_KDD_RODADA_1_5F_(45)	82.94298553466797	28.018836975097656	0.23691800236701965	[40, 10, 1, 3, 37]	
J48GRASP-RVND_KDD_RODADA_1_5F_(46)	82.94298553466797	28.018836975097656	0.23691800236701965	[40, 10, 1, 3, 37]	
J48GRASP-RVND_KDD_RODADA_1_5F_(47)	82.94298553466797	28.018836975097656	0.23691800236701965	[40, 10, 1, 3, 37]	
J48GRASP-RVND_KDD_RODADA_1_5F_(48)	82.94298553466797	28.018836975097656	0.23691800236701965	[40, 10, 1, 3, 37]	
J48GRASP-RVND_KDD_RODADA_1_5F_(49)	82.94298553466797	28.018836975097656	0.23691800236701965	[40, 10, 1, 3, 37]	
J48GRASP-RVND_KDD_RODADA_1_5F_(50)	82.94298553466797	28.018836975097656	0.23691800236701965	[40, 10, 1, 3, 37]	
