RandomForest_KDD_RODADA_1_5F_	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
RandomForest_KDD_RODADA_1_5F_(1)	80.28546905517578	15.977127075195312	0.020601565018296242	[11, 9, 18, 17, 37]	
RandomForest_KDD_RODADA_1_5F_(2)	81.46044921875	21.325260162353516	0.12360939383506775	[40, 23, 33, 3, 36]	
RandomForest_KDD_RODADA_1_5F_(3)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(4)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(5)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(6)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(7)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(8)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(9)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(10)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(11)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(12)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(13)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(14)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(15)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(16)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(17)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(18)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(19)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(20)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(21)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(22)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(23)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(24)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(25)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(26)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(27)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(28)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(29)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(30)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(31)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(32)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(33)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(34)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(35)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(36)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(37)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(38)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(39)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(40)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
RandomForest_KDD_RODADA_1_5F_(41)	84.91443634033203	36.42784881591797	0.23691800236701965	[37, 11, 6, 1, 23]	
