RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F	ACURÁCIA	DETECÇÃO	ALARME-FALSO	SELECAO
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(1)	83.82498168945312	68.33584594726562	0.5680255889892578	[53, 64, 40, 7, 9]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(2)	83.90946197509766	68.33853149414062	0.4011414647102356	[66, 9, 43, 55, 5]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(3)	83.90946197509766	68.33853149414062	0.4011414647102356	[66, 9, 43, 55, 5]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(4)	83.90946197509766	68.33853149414062	0.4011414647102356	[66, 9, 43, 55, 5]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(5)	83.90946197509766	68.33853149414062	0.4011414647102356	[66, 9, 43, 55, 5]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(6)	83.95150756835938	68.31355285644531	0.2915632426738739	[54, 70, 5, 7, 40]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(7)	83.95150756835938	68.31355285644531	0.2915632426738739	[54, 70, 5, 7, 40]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(8)	83.95150756835938	68.31355285644531	0.2915632426738739	[54, 70, 5, 7, 40]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(9)	83.95150756835938	68.31355285644531	0.2915632426738739	[54, 70, 5, 7, 40]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(10)	84.08805847167969	68.31509399414062	0.018972907215356827	[9, 67, 54, 56, 43]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(11)	84.08805847167969	68.31509399414062	0.018972907215356827	[9, 67, 54, 56, 43]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(12)	84.08805847167969	68.31509399414062	0.018972907215356827	[9, 67, 54, 56, 43]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(13)	84.08805847167969	68.31509399414062	0.018972907215356827	[9, 67, 54, 56, 43]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(14)	84.08805847167969	68.31509399414062	0.018972907215356827	[9, 67, 54, 56, 43]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(15)	84.08805847167969	68.31509399414062	0.018972907215356827	[9, 67, 54, 56, 43]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(16)	84.08805847167969	68.31509399414062	0.018972907215356827	[9, 67, 54, 56, 43]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(17)	84.08805847167969	68.31509399414062	0.018972907215356827	[9, 67, 54, 56, 43]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(18)	84.09538269042969	68.33699798583984	0.026329748332500458	[42, 7, 49, 67, 53]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(19)	84.09538269042969	68.33699798583984	0.026329748332500458	[42, 7, 49, 67, 53]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(20)	84.09538269042969	68.33699798583984	0.026329748332500458	[42, 7, 49, 67, 53]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(21)	84.09538269042969	68.33699798583984	0.026329748332500458	[42, 7, 49, 67, 53]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(22)	84.09538269042969	68.33699798583984	0.026329748332500458	[42, 7, 49, 67, 53]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(23)	84.09538269042969	68.33699798583984	0.026329748332500458	[42, 7, 49, 67, 53]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(24)	84.09538269042969	68.33699798583984	0.026329748332500458	[42, 7, 49, 67, 53]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(25)	84.09538269042969	68.33699798583984	0.026329748332500458	[42, 7, 49, 67, 53]	
RandomForestTODAY_GRASP-FS_CIDIDS_RODADA_1_5F(26)	84.09538269042969	68.33699798583984	0.026329748332500458	[42, 7, 49, 67, 53]	
